name,description,price,category
Spring Rolls,Crispy vegetable spring rolls with sweet chili sauce,6.99,Appetizer
Bruschetta,Toasted bread with tomatoes and basil,7.50,Appetizer
Caesar Salad,Fresh romaine with parmesan and croutons,8.99,Appetizer
Grilled Salmon,Fresh Atlantic salmon with lemon butter,18.99,Main Course
Beef Burger,Angus beef burger with fries,12.99,Main Course
Chicken Pasta,Penne pasta with grilled chicken in cream sauce,14.99,Main Course
Margherita Pizza,Classic pizza with tomato and mozzarella,11.99,Main Course
Chocolate Cake,Rich chocolate layer cake,6.50,Dessert
Ice Cream,Vanilla ice cream with toppings,4.99,Dessert
Tiramisu,Classic Italian dessert,7.99,Dessert
Coffee,Freshly brewed coffee,2.99,Beverage
Soda,Assorted soft drinks,2.50,Beverage
Fresh Juice,Orange or apple juice,3.99,Beverage
